iter	Cox
204	-105.5720593
205	-105.350045
206	-105.0623295
207	-104.8076599
208	-104.5420508
209	-104.2667159
210	-104.0018077
211	-103.7630675
212	-103.4374831
213	-103.1302881
214	-102.8714694
215	-102.6445729
216	-102.3546569
217	-102.1647867
218	-101.92281
219	-101.7327599
220	-101.4569795
221	-101.2253298
222	-100.9455499
223	-100.7182691
224	-100.4840856
225	-100.2760411
226	-100.0354354
227	-99.83315955
228	-99.59987553
229	-99.40495889
230	-99.14209651
231	-98.89971857
232	-98.67840468
233	-98.45389836
234	-98.30279118
235	-98.13877069
236	-97.9326287
237	-97.69369875
238	-97.46483488
239	-97.26504386
240	-97.09096092
241	-96.85898758
242	-96.65174231
243	-96.44276767
244	-96.25170407
245	-96.03354601
246	-95.81908492
247	-95.60931603
248	-95.41395998
249	-95.19981594
250	-95.00170866
251	-94.8175765
252	-94.63859211
253	-94.43142013
254	-94.22668542
255	-94.02347564
256	-93.841733
257	-93.65642541
258	-93.43862577
259	-93.24175312
260	-93.08766203
261	-92.92512218
262	-92.73560507
263	-92.56218526
264	-92.37780817
265	-92.20164569
266	-92.0018166
267	-91.82421581
268	-91.64800253
269	-91.4762175
270	-91.29557541
271	-91.11909139
272	-90.93353814
273	-90.74480203
274	-90.57784616
275	-90.42959029
276	-90.27523962
277	-90.10380897
278	-89.92037514
279	-89.77342351
280	-89.62502585
281	-89.47567848
282	-89.31718405
283	-89.15660824
284	-89.00338826
285	-88.83938173
286	-88.68241099
287	-88.54141601
288	-88.40479949
289	-88.24815352
290	-88.08834512
291	-87.95338293
292	-87.80947404
293	-87.66841887
294	-87.53185907
295	-87.38337772
296	-87.24340325
297	-87.1039359
298	-86.95354476
299	-86.83111227
300	-86.69832047
301	-86.57114519
302	-86.43133797
303	-86.31461428
304	-86.17509912
305	-86.04242119
306	-85.91303638
307	-85.7518588
308	-85.62317196
309	-85.4837642
310	-85.34695969
311	-85.20668579
312	-85.07039741
313	-84.9596285
314	-84.81562851
315	-84.65653986
316	-84.51981303
317	-84.38958546
318	-84.27718883
319	-84.1197363
320	-83.9891189
321	-83.86696131
322	-83.74270107
323	-83.61849317
324	-83.47999313
325	-83.36693243
326	-83.25132043
327	-83.12068908
328	-83.01050759
329	-82.88963504
330	-82.7786355
331	-82.63207462
332	-82.50701937
333	-82.41598497
334	-82.29820283
335	-82.17850615
336	-82.0585838
337	-81.93646241
338	-81.80714653
339	-81.67566554
340	-81.56912256
341	-81.44501025
342	-81.33516348
343	-81.22050414
344	-81.09901208
345	-80.9766162
346	-80.86715162
347	-80.76915145
348	-80.64889837
349	-80.5455227
350	-80.45513375
351	-80.3570197
352	-80.23813368
353	-80.14105955
354	-80.02980245
355	-79.92435199
356	-79.80992008
357	-79.69526355
358	-79.56575162
359	-79.4620127
360	-79.34221579
361	-79.22310341
362	-79.1148422
363	-79.00985071
364	-78.93159367
365	-78.81523678
366	-78.7039921
367	-78.5926184
368	-78.48325641
369	-78.35909431
370	-78.26191203
371	-78.17042727
372	-78.0751501
373	-77.97226882
374	-77.86408918
375	-77.7623159
376	-77.6713784
377	-77.58786208
378	-77.47226247
379	-77.37229839
380	-77.28213394
381	-77.1970863
382	-77.11345352
383	-77.02684358
384	-76.94859843
385	-76.84713709
386	-76.75855744
387	-76.65751789
388	-76.55258318
389	-76.43969066
390	-76.34049772
391	-76.23480241
392	-76.14095735
393	-76.04180997
394	-75.94355329
395	-75.85999887
396	-75.7670912
397	-75.67410212
398	-75.59281871
399	-75.50658289
400	-75.40093564
401	-75.29729312
402	-75.21520758
403	-75.11904049
404	-75.03384945
405	-74.94019118
406	-74.84076471
407	-74.76419444
408	-74.67928496
409	-74.58611046
410	-74.49108899
411	-74.39183078
412	-74.30853377
413	-74.22221453
414	-74.15012232
415	-74.07453184
416	-74.00023389
417	-73.9048113
418	-73.81873045
419	-73.74650787
420	-73.66896807
421	-73.59678792
422	-73.53040625
423	-73.46544002
424	-73.36682559
425	-73.29187729
426	-73.19810098
427	-73.1287177
428	-73.05741336
429	-72.98694089
430	-72.89667943
431	-72.81161557
432	-72.72168247
433	-72.63100132
434	-72.5620682
435	-72.49211518
436	-72.39914286
437	-72.33162015
438	-72.23873065
439	-72.14968987
440	-72.07921988
441	-71.9901839
442	-71.91029047
443	-71.82030345
444	-71.75832406
445	-71.67664494
446	-71.59240249
447	-71.50622669
448	-71.42146957
449	-71.33810492
450	-71.28091574
451	-71.21910484
452	-71.13373911
453	-71.07284285
454	-71.00597808
455	-70.92270236
456	-70.83926225
457	-70.7555564
458	-70.68092996
459	-70.60325477
460	-70.52603936
461	-70.43313067
462	-70.35077918
463	-70.28595743
464	-70.22481656
465	-70.13407047
466	-70.0708783
467	-70.00366875
468	-69.9399003
469	-69.86127637
470	-69.78770324
471	-69.72165502
472	-69.64154553
473	-69.58076998
474	-69.49134398
475	-69.43065483
476	-69.34766574
477	-69.28881975
478	-69.22795879
479	-69.15420188
480	-69.07381725
481	-69.00010476
482	-68.92788678
483	-68.84795975
484	-68.78860893
485	-68.72646071
486	-68.65805719
487	-68.58241161
488	-68.51693979
489	-68.44166849
490	-68.3641544
491	-68.29106658
492	-68.2296578
493	-68.15413491
494	-68.0844774
495	-68.0111639
496	-67.93502031
497	-67.87782177
498	-67.81424782
499	-67.75641051
500	-67.70114514
501	-67.64095461
502	-67.56795979
503	-67.50715687
504	-67.45646676
505	-67.38223251
506	-67.31760304
507	-67.24502136
508	-67.19316813
509	-67.12620588
510	-67.05940382
511	-66.98878235
512	-66.91704453
513	-66.85944509
514	-66.79523037
515	-66.74363343
516	-66.67162987
517	-66.61634718
518	-66.55640014
519	-66.4988532
520	-66.42480252
521	-66.36342811
522	-66.29519558
523	-66.23434987
524	-66.17248013
525	-66.11991827
526	-66.07020627
527	-66.00415201
528	-65.94142015
529	-65.88168254
530	-65.8313485
531	-65.76513039
532	-65.69805112
533	-65.62519778
534	-65.55958375
535	-65.50685476
536	-65.45711201
537	-65.40539966
538	-65.34688174
539	-65.27912714
540	-65.21775217
541	-65.1622706
542	-65.09408096
543	-65.03387741
544	-64.96718112
545	-64.90193923
546	-64.85121381
547	-64.80225408
548	-64.75080451
549	-64.68661531
550	-64.63008115
551	-64.58274857
552	-64.51766085
553	-64.45329363
554	-64.40489065
555	-64.34790212
556	-64.28008674
557	-64.21715173
558	-64.1584271
559	-64.09939373
560	-64.04523156
561	-63.98803481
562	-63.91953254
563	-63.85802015
564	-63.8001016
565	-63.75232395
566	-63.69184948
567	-63.62553891
568	-63.57831004
569	-63.53514948
570	-63.47041824
571	-63.41014966
572	-63.35638096
573	-63.28723819
574	-63.24485713
575	-63.19289409
576	-63.12325133
577	-63.06355686
578	-63.01726836
579	-62.96660198
580	-62.90520559
581	-62.85296522
582	-62.81173977
583	-62.76639731
584	-62.72344963
585	-62.68240674
586	-62.62944894
587	-62.58232111
